ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716562,134,W,FIGUEROA,Los Angeles,Los Angeles,On Ramp,1,,4211,11.473,R11.49,34.1430643,-118.1854194,True
716564,134,W,SAN RAFAEL,Pasadena,Los Angeles,On Ramp,1,,4210,12.253,R12.27,34.1427542,-118.1729618,True
717596,134,W,FIGUEROA,Los Angeles,Los Angeles,Off Ramp,1,,4211,11.473,R11.49,34.1434569,-118.1846551,True
717597,134,W,FIGUEROA,Los Angeles,Los Angeles,Mainline,4,0.49,4211,11.473,R11.49,34.1425312,-118.184639,True
717598,134,W,SAN RAFAEL,Pasadena,Los Angeles,Off Ramp,1,,4210,12.253,R12.27,34.1442093,-118.1694589,True
717599,134,W,SAN RAFAEL,Pasadena,Los Angeles,Mainline,4,0.57,4210,12.253,R12.27,34.1430638,-118.1717696,True
717603,134,W,ORANGE GROVE,Pasadena,Los Angeles,Mainline,5,0.833,4209,12.763,R12.78,34.1463371,-118.1632376,True
717604,134,W,ORANGE GROVE,Pasadena,Los Angeles,HOV,1,0.833,4209,12.763,R12.78,34.1462395,-118.1631786,True
763610,134,W,SAN RAFAEL,Pasadena,Los Angeles,HOV,1,0.57,4210,12.253,R12.27,34.1429995,-118.1717213,True
763612,134,W,FIGUEROA,Los Angeles,Los Angeles,HOV,1,0.49,4211,11.473,R11.49,34.1424912,-118.1846645,True
769301,134,W,EB 210 TO WB 134 #2,Pasadena,Los Angeles,Fwy-Fwy,1,,2400,12.883,R12.9,34.1475466,-118.1602399,True
769302,134,W,NB 710 EXT TO WB 134,Pasadena,Los Angeles,Fwy-Fwy,1,,2400,12.893,R12.91,34.148147,-118.1592457,True
774032,134,W,COLORADO,Los Angeles,Los Angeles,Mainline,4,0.39,4200,11.623,R11.64,34.141917,-118.1830122,True
774034,134,W,COLORADO,Los Angeles,Los Angeles,HOV,1,0.39,4200,11.623,R11.64,34.1418538,-118.1830256,True
774037,134,W,COLORADO,Los Angeles,Los Angeles,Off Ramp,2,,4200,11.623,R11.64,34.1410058,-118.1859573,True
