ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
717957,605,S,ARROW 1,Irwindale,Los Angeles,Mainline,4,0.577,4428,26.004,23.952,34.1145135,-117.9783283,True
718498,605,S,LIVE OAK,Irwindale,Los Angeles,On Ramp,1,,4432,25.398,23.346,34.1075696,-117.9822577,True
763616,605,S,LIVE OAK,Irwindale,Los Angeles,Mainline,4,1.0,4432,25.398,23.346,34.1076806,-117.9819238,True
766925,605,S,605 SB TO ARROW EB,Irwindale,Los Angeles,Off Ramp,1,,4428,26.014,23.962,34.1152056,-117.978352,True
766926,605,S,605 SB TO ARROW WB,Irwindale,Los Angeles,Off Ramp,1,,4428,26.004,23.952,34.1151075,-117.9786461,True
773796,605,S,ARROW HIGHWAY,Irwindale,Los Angeles,Mainline,4,0.524,2152,26.552,24.5,34.1206865,-117.9703042,True
773798,605,S,ROUTE 605/ ROUTE 210,Irwindale,Los Angeles,Mainline,4,1.25,2443,27.052,25,34.1261565,-117.964537,True
774258,605,S,MT OLIVE TO EB 210,Irwindale,Los Angeles,On Ramp,1,,4430,27.952,25.9,34.13524,-117.9574462,True
774260,605,S,MT OLIVE TO SB 605,Irwindale,Los Angeles,On Ramp,1,,4430,27.952,25.9,34.1351013,-117.9571325,True
774261,605,S,EB 210 TO MT OLIVE,Irwindale,Los Angeles,Fwy-Fwy,1,,4430,27.952,25.9,34.1347472,-117.9569299,True
774262,605,S,WB 210 TO MT OLIVE,Irwindale,Los Angeles,Off Ramp,1,,4430,27.952,25.9,34.1346629,-117.9565075,True
774263,605,S,MT OLIVE TO WB 210,Irwindale,Los Angeles,On Ramp,1,,4430,27.952,25.9,34.1352912,-117.957587,True
774264,605,S,NB 605 TO MT OLIVE,Irwindale,Los Angeles,Fwy-Fwy,1,,4430,27.952,25.9,34.1347383,-117.9568816,True
