ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716543,134,E,CAHUENGA BLVD,Los Angeles,Los Angeles,On Ramp,1,,3107,0.95,.95,34.153063,-118.359904,False
716546,134,E,BUENA VISTA,Burbank,Los Angeles,On Ramp,1,,3109,3.04,3.04,34.154023,-118.324031,False
716548,134,E,FOREST LAWN,Los Angeles,Los Angeles,On Ramp,1,,3110,3.88,3.88,34.155121,-118.309741,False
716552,134,E,SAN FERNANDO,Glendale,Los Angeles,On Ramp,1,,4191,6.1,R6.1,34.154438,-118.272455,False
716553,134,E,PACIFIC,Glendale,Los Angeles,On Ramp,1,,4192,6.48,R6.48,34.155877,-118.266072,False
716556,134,E,BRAND,Glendale,Los Angeles,On Ramp,1,,4194,7.41,R7.41,34.156268,-118.25012,False
716558,134,E,GLENDALE SB,Glendale,Los Angeles,On Ramp,1,,4195,7.84,R7.84,34.155839,-118.242691,False
716559,134,E,GLENDALE NB,Glendale,Los Angeles,On Ramp,1,,4196,7.98,R7.98,34.15489,-118.240354,False
716561,134,E,HARVEY,Glendale,Los Angeles,On Ramp,1,,4197,8.92,R8.92,34.146882,-118.227103,False
716565,134,E,SAN RAFAEL,Pasadena,Los Angeles,On Ramp,1,,4202,12.45,R12.45,34.1439145,-118.16855,True
716567,134,E,ORANGE GROVE,Pasadena,Los Angeles,On Ramp,1,,4203,13.18,R13.18,34.1483687,-118.1574208,True
717098,134,E,HOLLYWOOD WAY,Los Angeles,Los Angeles,On Ramp,1,,3108,2.11,2.11,34.153535,-118.339979,False
717570,134,E,CAHUENGA,Los Angeles,Los Angeles,Mainline,4,0.705,3107,0.95,.95,34.153063,-118.359904,False
717573,134,E,BUENA VISTA,Burbank,Los Angeles,Mainline,4,0.55,3109,3.04,3.04,34.154023,-118.324031,False
717574,134,E,FOREST LAWN,Los Angeles,Los Angeles,Off Ramp,1,,3110,3.88,3.88,34.155121,-118.309741,False
717577,134,E,SAN FERNANDO,Glendale,Los Angeles,Off Ramp,1,,4191,6.1,R6.1,34.154438,-118.272455,False
717578,134,E,SAN FERNANDO,Glendale,Los Angeles,Mainline,4,0.39,4191,6.1,R6.1,34.154438,-118.272455,False
717579,134,E,PACIFIC,Glendale,Los Angeles,Off Ramp,1,,4192,6.48,R6.48,34.155877,-118.266072,False
717580,134,E,PACIFIC,Glendale,Los Angeles,Mainline,4,0.655,4192,6.48,R6.48,34.155877,-118.266072,False
717583,134,E,BRAND,Glendale,Los Angeles,Mainline,4,0.68,4194,7.41,R7.41,34.156268,-118.25012,False
717584,134,E,GLENDALE SB,Glendale,Los Angeles,Off Ramp,3,,4195,7.84,R7.84,34.155839,-118.242691,False
717585,134,E,GLENDALE 1,Glendale,Los Angeles,Mainline,4,0.285,4195,7.84,R7.84,34.155839,-118.242691,False
717586,134,E,GLENDALE 1,Glendale,Los Angeles,HOV,1,0.285,4195,7.84,R7.84,34.155839,-118.242691,False
717587,134,E,GLENDALE 2,Glendale,Los Angeles,Mainline,5,0.29,4196,7.98,R7.98,34.15489,-118.240354,False
717588,134,E,GLENDALE 2,Glendale,Los Angeles,HOV,1,0.29,4196,7.98,R7.98,34.15489,-118.240354,False
717591,134,E,HARVEY,Glendale,Los Angeles,Off Ramp,3,,4197,8.92,R8.92,34.146882,-118.227103,False
717592,134,E,HARVEY,Glendale,Los Angeles,Mainline,4,0.405,4197,8.92,R8.92,34.146882,-118.227103,False
717593,134,E,HARVEY,Glendale,Los Angeles,HOV,1,0.405,4197,8.92,R8.92,34.146882,-118.227103,False
717594,134,E,FIGUEROA,Los Angeles,Los Angeles,Off Ramp,1,,4201,11.52,R11.52,34.1433056,-118.1869739,True
717595,134,E,FIGUEROA,Los Angeles,Los Angeles,Mainline,4,0.49,4201,11.52,R11.52,34.1422524,-118.1845867,True
717600,134,E,SAN RAFAEL,Pasadena,Los Angeles,Off Ramp,1,,4202,12.45,R12.45,34.1424783,-118.1724781,True
