ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716575,210,W,ARROYO 1,Pasadena,Los Angeles,On Ramp,1,,4317,22.3,R22.32,34.1828211,-118.1718442,True
716578,210,W,LINCOLN 1,Pasadena,Los Angeles,On Ramp,1,,4315,23.0,R23.02,34.1764006,-118.1619062,True
716579,210,W,MOUNTAIN 1,Pasadena,Los Angeles,On Ramp,1,,4314,23.9,R23.92,34.1652625,-118.1579094,True
716582,210,W,WALNUT,Pasadena,Los Angeles,On Ramp,1,,4312,24.9,R24.92,34.1515009,-118.1557708,True
716583,210,W,FAIR OAKS 1,Pasadena,Los Angeles,On Ramp,1,,4311,25.4,R25.42,34.1512875,-118.1529365,True
716586,210,W,LAKE 1,Pasadena,Los Angeles,On Ramp,1,,4309,26.12,R26.14,34.1521482,-118.1355511,True
716588,210,W,HILL,Pasadena,Los Angeles,On Ramp,1,,4308,26.8,R26.82,34.1525277,-118.1235989,True
716591,210,W,ALTADENA,Pasadena,Los Angeles,On Ramp,1,,4307,28.03,R28.05,34.1528513,-118.1021939,True
716592,210,W,SAN GABRIEL,Pasadena,Los Angeles,On Ramp,1,,4306,28.27,R28.29,34.152875,-118.0981242,True
716594,210,W,SIERRA MADRE V1,Pasadena,Los Angeles,On Ramp,1,,4305,29.17,R29.19,34.1482442,-118.0840987,True
716596,210,W,ROSEMEAD 1,,Los Angeles,On Ramp,1,,4304,29.879,R29.59,34.1485071,-118.074888,True
716597,210,W,ROSEMEAD 2,,Los Angeles,On Ramp,1,,4569,29.999,R29.71,34.1488874,-118.0714993,True
716599,210,W,MICHILLINDA,Arcadia,Los Angeles,On Ramp,1,,4516,30.139,R29.85,34.1490285,-118.0674733,True
716601,210,W,BALDWIN SB,Arcadia,Los Angeles,On Ramp,1,,4303,30.779,R30.49,34.1491185,-118.0551233,True
716602,210,W,BALDWIN NB,Arcadia,Los Angeles,On Ramp,1,,4302,30.999,R30.71,34.1492505,-118.04943,True
716604,210,W,SANTA ANITA SB,Arcadia,Los Angeles,On Ramp,1,,4301,32.019,R31.73,34.1484719,-118.0341311,True
716607,210,W,IRWINDALE SB,Irwindale,Los Angeles,On Ramp,1,,4293,38.069,R37.78,34.1293003,-117.9367652,True
716608,210,W,IRWINDALE NB,Irwindale,Los Angeles,On Ramp,1,,4292,38.208,R37.919,34.1301381,-117.9332559,True
716609,210,W,VERNON,Irwindale,Los Angeles,On Ramp,1,,4291,39.159,R38.87,34.1280577,-117.9183792,True
716610,210,W,AZUSA SB,Azusa,Los Angeles,On Ramp,1,,4290,39.809,R39.52,34.1213161,-117.9097956,True
716611,210,W,AZUSA NB,Azusa,Los Angeles,On Ramp,1,,4289,39.909,R39.62,34.1208307,-117.9071107,True
716612,210,W,CITRUS,Azusa,Los Angeles,On Ramp,1,,4288,40.549,R40.26,34.1212413,-117.895844,True
716613,210,W,GRAND SB,Azusa,Los Angeles,On Ramp,1,,4287,41.789,R41.5,34.120839,-117.874498,False
716614,210,W,GRAND NB,Glendora,Los Angeles,On Ramp,1,,4286,41.969,R41.68,34.120655,-117.871352,False
716615,210,W,SUNFLOWER AV,Glendora,Los Angeles,On Ramp,1,,4285,43.389,R43.1,34.117701,-117.847619,False
716881,210,W,MOUNT OLIVE DR,Duarte,Los Angeles,On Ramp,1,,4294,36.589,R36.3,34.1353679,-117.9607133,True
