ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716756,605,N,SPRING 1,Seal Beach,Los Angeles,On Ramp,1,,3435,2.282,R.23,33.809588,-118.081304,False
716758,605,N,CARSON EB,Long Beach,Los Angeles,On Ramp,1,,3436,3.732,R1.68,33.830383,-118.083453,False
716759,605,N,CARSON WB,Lakewood,Los Angeles,On Ramp,1,,3437,3.902,R1.85,33.832657,-118.084601,False
716760,605,N,CENTRALIA,Lakewood,Los Angeles,Mainline,4,0.47,2138,4.332,R2.28,33.838278,-118.087885,False
716761,605,N,DEL AMO EB,Lakewood,Los Angeles,On Ramp,1,,3438,4.842,R2.79,33.844957,-118.091715,False
716762,605,N,DEL AMO WB,Cerritos,Los Angeles,On Ramp,1,,3439,4.982,R2.93,33.84679,-118.092752,False
716763,605,N,SOUTH EB,Cerritos,Los Angeles,On Ramp,1,,3440,5.732,R3.68,33.857321,-118.09579,False
716764,605,N,SOUTH WB,Cerritos,Los Angeles,On Ramp,1,,3441,5.872,R3.82,33.859308,-118.096265,False
716780,605,N,ALONDRA EB,Cerritos,Los Angeles,On Ramp,1,,3244,7.822,R5.77,33.886691,-118.104261,False
716782,605,N,ALONDRA WB,Cerritos,Los Angeles,On Ramp,1,,3245,7.972,R5.92,33.888878,-118.104376,False
716784,605,N,FAIRTON,Cerritos,Los Angeles,Mainline,5,0.465,2140,8.342,R6.29,33.894297,-118.104669,False
716787,605,N,ROSECRANS1 TO 105 WB,Norwalk,Los Angeles,On Ramp,1,,3246,8.902,R6.85,33.902407,-118.105114,False
716788,605,N,ROSECRANS 2,Norwalk,Los Angeles,Mainline,5,0.24,3247,8.982,R6.93,33.903565,-118.10513,False
716791,605,N,IMPERIAL,Norwalk,Los Angeles,On Ramp,1,,3248,9.852,R7.8,33.916153,-118.104585,False
716794,605,N,FIRESTONE,Norwalk,Los Angeles,On Ramp,1,,3249,10.552,R8.5,33.926206,-118.1036,False
716798,605,N,TELEGRAPH,Santa Fe Springs,Los Angeles,On Ramp,1,,3333,12.447,R10.395,33.951332,-118.090846,False
716800,605,N,PLACITA,Santa Fe Springs,Los Angeles,Mainline,4,0.557,2144,12.962,R10.91,33.958124,-118.087014,False
716805,605,N,EB WASHINGTON ON,,Los Angeles,On Ramp,1,,3334,14.042,R11.99,33.972857,-118.080336,False
716807,605,N,SARAGOSA,,Los Angeles,On Ramp,1,,3335,14.532,R12.48,33.979377,-118.077076,False
716812,605,N,WHITTIER EB 1,,Los Angeles,On Ramp,1,,3336,15.532,R13.48,33.992148,-118.069414,False
716814,605,N,WHITTIER WB 2,Whittier,Los Angeles,On Ramp,1,,3337,15.7,R13.648,33.994533,-118.068855,False
716818,605,N,BEVERLY 2,Pico Rivera,Los Angeles,On Ramp,1,,3338,16.562,R14.51,34.005361,-118.06248,False
716819,605,N,NOYES,,Los Angeles,Mainline,4,0.473,2146,16.942,R14.89,34.009316,-118.057906,False
716822,605,N,ROSE HILL1,Industry,Los Angeles,Off Ramp,1,,3343,17.532,R15.48,34.017016,-118.053825,False
716823,605,N,ROSE HILL2,Pico Rivera,Los Angeles,On Ramp,1,,3339,17.712,R15.66,34.018698,-118.051437,False
716827,605,N,PECK 2,Industry,Los Angeles,On Ramp,1,,3340,18.812,R16.76,34.028108,-118.035925,False
716829,605,N,S OF 60,Industry,Los Angeles,Mainline,3,0.97,2449,19.152,R17.1,34.030914,-118.031047,False
716833,605,N,VALLEY WB,,Los Angeles,On Ramp,1,,4423,21.554,R19.502,34.05556,-118.003436,False
716834,605,N,VALLEY 1,,Los Angeles,Mainline,4,0.401,4424,21.417,R19.365,34.053746,-118.004464,False
716837,605,N,RAMONA,Baldwin Park,Los Angeles,On Ramp,1,,4426,23.283,21.231,34.079858,-117.997784,False
716839,605,N,LOWER AZUSA,Baldwin Park,Los Angeles,On Ramp,1,,4427,24.418,22.366,34.093924,-117.988767,False
716841,605,N,ARROW 1,Irwindale,Los Angeles,Mainline,4,0.426,4428,26.004,23.952,34.114458,-117.9780735,True
716842,605,N,ARROW WB,Irwindale,Los Angeles,On Ramp,1,,4429,26.204,24.152,34.1162977,-117.9759083,True
717143,605,N,DEL AMO 1,Lakewood,Los Angeles,Mainline,4,0.325,3438,4.842,R2.79,33.844957,-118.091715,False
717831,605,N,SPRING 1,Seal Beach,Los Angeles,Mainline,4,1.057,3435,2.282,R.23,33.809588,-118.081304,False
717835,605,N,CARSON EB,Long Beach,Los Angeles,Off Ramp,1,,3436,3.732,R1.68,33.830383,-118.083453,False
717836,605,N,CARSON EB,Long Beach,Los Angeles,Mainline,4,0.175,3436,3.732,R1.68,33.830383,-118.083453,False
717839,605,N,CARSON 2,Lakewood,Los Angeles,Mainline,4,0.3,3437,3.902,R1.85,33.832657,-118.084601,False
717840,605,N,ROSECRANS,Norwalk,Los Angeles,On Ramp,1,,3247,8.982,R6.93,33.903565,-118.10513,False
717844,605,N,DEL AMO 2,Cerritos,Los Angeles,Mainline,4,0.255,3439,4.982,R2.93,33.84679,-118.092752,False
717849,605,N,SOUTH EB,Cerritos,Los Angeles,Off Ramp,1,,3440,5.732,R3.68,33.857321,-118.09579,False
717850,605,N,SOUTH 1,Cerritos,Los Angeles,Mainline,4,0.26,3440,5.732,R3.68,33.857321,-118.09579,False
717851,605,N,SOUTH 2,Cerritos,Los Angeles,Mainline,4,0.315,3441,5.872,R3.82,33.859308,-118.096265,False
717854,605,N,183RD,Cerritos,Los Angeles,Mainline,5,0.49,2139,6.362,R4.31,33.86612,-118.098646,False
717857,605,N,N OF 91 (3),Cerritos,Los Angeles,Mainline,6,0.285,2440,7.482,R5.43,33.881766,-118.103878,False
717858,605,N,ALONDRA 1,Cerritos,Los Angeles,Mainline,5,0.245,3244,7.822,R5.77,33.886691,-118.104261,False
717863,605,N,ALONDRA 2,Cerritos,Los Angeles,Mainline,5,0.26,3245,7.972,R5.92,33.888878,-118.104376,False
717864,605,N,FOSTER,Norwalk,Los Angeles,Mainline,5,0.435,2141,9.382,R7.33,33.909354,-118.104924,False
717869,605,N,ROSECRANS 1,Norwalk,Los Angeles,Off Ramp,2,,3246,8.902,R6.85,33.902407,-118.105114,False
717874,605,N,FIRESTONE,Norwalk,Los Angeles,Off Ramp,2,,3249,10.552,R8.5,33.926206,-118.1036,False
717875,605,N,FIRESTONE,Norwalk,Los Angeles,Mainline,5,0.55,3249,10.552,R8.5,33.926206,-118.1036,False
717876,605,N,FIRESTONE,Norwalk,Los Angeles,HOV,1,0.975,3249,10.552,R8.5,33.926206,-118.1036,False
