ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716768,605,S,CARSON EB,Long Beach,Los Angeles,On Ramp,1,,3447,3.722,R1.67,33.830177,-118.08363,False
716769,605,S,CARSON WB,Lakewood,Los Angeles,On Ramp,1,,3446,3.902,R1.85,33.832579,-118.084831,False
716771,605,S,DEL AMO EB,Lakewood,Los Angeles,On Ramp,1,,3445,4.842,R2.79,33.844875,-118.091947,False
716772,605,S,DEL AMO WB,Cerritos,Los Angeles,On Ramp,1,,3444,4.982,R2.93,33.846711,-118.092994,False
716773,605,S,SOUTH EB,Cerritos,Los Angeles,On Ramp,1,,3443,5.732,R3.68,33.857271,-118.09599,False
716774,605,S,SOUTH WB,Cerritos,Los Angeles,On Ramp,1,,3442,5.882,R3.83,33.859402,-118.096491,False
716775,605,S,183RD,Cerritos,Los Angeles,Mainline,5,0.535,2139,6.362,R4.31,33.866067,-118.098862,False
716776,605,S,ARTESIA,Cerritos,Los Angeles,Mainline,4,0.56,2373,6.952,R4.9,33.87427,-118.101893,False
716778,605,S,N OF 91 (3),Cerritos,Los Angeles,Mainline,6,0.42,2440,7.482,R5.43,33.881753,-118.104077,False
716779,605,S,ALONDRA EB,Cerritos,Los Angeles,On Ramp,1,,3384,7.792,R5.74,33.886248,-118.104435,False
716781,605,S,ALONDRA WB,Cerritos,Los Angeles,On Ramp,1,,3383,7.932,R5.88,33.888287,-118.10455,False
716785,605,S,ROSECRANS EB,Norwalk,Los Angeles,On Ramp,1,,3382,8.772,R6.72,33.900526,-118.105238,False
716786,605,S,ROSECRANS WB,Norwalk,Los Angeles,On Ramp,1,,3381,8.892,R6.84,33.902261,-118.105349,False
716792,605,S,IMPERIAL,Norwalk,Los Angeles,On Ramp,2,,3379,9.952,R7.9,33.917606,-118.104793,False
716793,605,S,FIRESTONE,Norwalk,Los Angeles,On Ramp,1,,3378,10.392,R8.34,33.923989,-118.104406,False
716795,605,S,FLORENCE,Downey,Los Angeles,On Ramp,1,,3377,11.216,R9.164,33.935212,-118.099885,False
716797,605,S,N OF 5,Downey,Los Angeles,Mainline,3,0.598,2454,11.802,R9.75,33.942967,-118.095825,False
716799,605,S,TELEGRAPH,Santa Fe Springs,Los Angeles,On Ramp,1,,3351,12.412,R10.36,33.950974,-118.091381,False
716802,605,S,SLAUSON,,Los Angeles,On Ramp,1,,3350,13.562,R11.51,33.966467,-118.083807,False
716804,605,S,WASHINGTON 1,,Los Angeles,On Ramp,1,,3349,14.012,R11.96,33.972515,-118.080722,False
716806,605,S,WASHINGTON 2,,Los Angeles,On Ramp,1,,3348,14.172,R12.12,33.974742,-118.079877,False
716808,605,S,WASHINGTON 3,,Los Angeles,Off Ramp,1,,3335,14.625,R12.573,33.980513,-118.076242,False
716810,605,S,ROSEHEDGE,,Los Angeles,Mainline,4,0.453,2145,15.052,R13,33.985594,-118.072012,False
716811,605,S,WHITTIER EB,,Los Angeles,On Ramp,1,,3347,15.532,R13.48,33.992205,-118.069649,False
716813,605,S,WHITTIER WB,Whittier,Los Angeles,On Ramp,1,,3346,15.664,R13.612,33.994073,-118.069196,False
716815,605,S,BEVERLY EB,Pico Rivera,Los Angeles,On Ramp,1,,3345,16.442,R14.39,34.004272,-118.064134,False
716817,605,S,BEVERLY WB,Pico Rivera,Los Angeles,On Ramp,1,,3344,16.492,R14.44,34.004792,-118.063514,False
716821,605,S,ROSE HILL1,Industry,Los Angeles,On Ramp,1,,3343,17.532,R15.48,34.01717,-118.05398,False
716824,605,S,ROSE HILL2,Pico Rivera,Los Angeles,Off Ramp,1,,3339,17.712,R15.66,34.01886,-118.051593,False
716825,605,S,PECK 1,Industry,Los Angeles,On Ramp,1,,3342,18.632,R16.58,34.026807,-118.038666,False
716828,605,S,PECK 2,Industry,Los Angeles,On Ramp,1,,3341,18.812,R16.76,34.028263,-118.036063,False
716831,605,S,VALLEY EB,,Los Angeles,On Ramp,1,,4437,21.352,R19.3,34.052972,-118.005179,False
716832,605,S,VALLEY WB,,Los Angeles,On Ramp,1,,4436,21.262,R19.21,34.051776,-118.005858,False
716838,605,S,LOWER AZUSA,Baldwin Park,Los Angeles,On Ramp,1,,4433,24.003,21.951,34.089665,-117.99394,False
717832,605,S,SPRING 1,Seal Beach,Los Angeles,Mainline,4,1.042,3435,2.252,R.2,33.80915,-118.081596,False
717833,605,S,CARSON 1,Long Beach,Los Angeles,Mainline,4,0.175,3447,3.722,R1.67,33.830177,-118.08363,False
717834,605,S,FM 105 EB,Norwalk,Los Angeles,On Ramp,1,,2909,9.252,R7.2,33.907474,-118.105239,False
717837,605,S,CARSON WB,Lakewood,Los Angeles,Off Ramp,2,,3446,3.902,R1.85,33.832579,-118.084831,False
717838,605,S,CARSON 2,Lakewood,Los Angeles,Mainline,4,0.305,3446,3.902,R1.85,33.832579,-118.084831,False
717842,605,S,CENTRALIA,Lakewood,Los Angeles,Mainline,4,0.47,2138,4.332,R2.28,33.838214,-118.088062,False
717843,605,S,DEL AMO 1,Lakewood,Los Angeles,Mainline,4,0.325,3445,4.842,R2.79,33.844875,-118.091947,False
717845,605,S,DEL AMO WB,Cerritos,Los Angeles,Off Ramp,1,,3444,4.982,R2.93,33.846711,-118.092994,False
