ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
715898,5,S,PHOEBE,La Mirada,Los Angeles,Mainline,3,0.43,2029,117.28,.71,33.880183,-118.021787,False
715900,5,S,VALLEY VIEW,La Mirada,Los Angeles,On Ramp,1,,3255,117.63,1.06,33.882892,-118.026822,False
715901,5,N,VALLEY VIEW,La Mirada,Los Angeles,On Ramp,1,,3268,117.743,1.11,33.8834,-118.027451,False
715903,5,N,ALONDRA,Santa Fe Springs,Los Angeles,On Ramp,1,,3269,118.193,1.56,33.886992,-118.034125,False
715906,5,S,ROSECRANS,Norwalk,Los Angeles,On Ramp,1,,3252,119.85,3.28,33.900669,-118.059422,False
715907,5,S,FIRESTONE,Norwalk,Los Angeles,On Ramp,1,,3251,120.19,3.62,33.903961,-118.064046,False
715908,5,S,SAN ANTONIO/NORWALK,Norwalk,Los Angeles,On Ramp,1,,3090,120.85,4.28,33.911074,-118.071686,False
715910,5,N,NORWALK SB,Norwalk,Los Angeles,On Ramp,1,,3273,121.213,4.58,33.913564,-118.075867,False
715913,5,S,PIONEER,Norwalk,Los Angeles,Off Ramp,1,,2581,121.79,5.22,33.920763,-118.082501,False
715918,5,N,ORR - DAY,Norwalk,Los Angeles,Mainline,3,1.075,2579,122.833,6.2,33.93311,-118.091005,False
715920,5,S,S OF 605,Norwalk,Los Angeles,Mainline,4,1.29,2296,123.21,6.64,33.938544,-118.094941,False
715923,5,S,LAKEWOOD NB,Downey,Los Angeles,On Ramp,1,,3045,124.78,8.21,33.956897,-118.110532,False
715924,5,N,LAKEWOOD NB,Downey,Los Angeles,On Ramp,1,,3586,124.903,8.27,33.957583,-118.111199,False
715925,5,S,LAKEWOOD SB,Downey,Los Angeles,On Ramp,1,,3044,124.92,8.35,33.958225,-118.11239,False
715926,5,N,LAKEWOOD SB,Downey,Los Angeles,On Ramp,1,,3587,125.043,8.41,33.95891,-118.113036,False
715927,5,N,PARAMOUNT,Downey,Los Angeles,On Ramp,1,,3588,125.493,8.86,33.9632,-118.1189,False
715928,5,S,PARAMOUNT NB,Downey,Los Angeles,On Ramp,1,,3043,125.5,8.93,33.963867,-118.11987,False
